"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"100100570","2010 Jan 31 12:00:00 AM","2010 Jan 31 12:00:00 AM","0130","01","Central","0139","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","0344","31","M","H","210","RESTAURANT/FAST FOOD",,,"IC","Invest Cont","440",,,,"600 E  2ND                          ST",,"34.0472","-118.2371"
"100100571","2010 Jan 31 12:00:00 AM","2010 Jan 31 12:00:00 AM","1000","01","Central","0192","2","624","BATTERY - SIMPLE ASSAULT","0400","36","F","H","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","624",,,,"1400 S  HOPE                         ST",,"34.0382","-118.2665"
"100100572","2010 Feb 01 12:00:00 AM","2010 Jan 31 12:00:00 AM","1700","01","Central","0166","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416","61","F","B","102","SIDEWALK","500","UNKNOWN WEAPON/OTHER WEAPON","AO","Adult Other","230",,,,"600 S  SAN PEDRO                    ST",,"34.0423","-118.2452"
"100100573","2010 Feb 01 12:00:00 AM","2010 Jan 31 12:00:00 AM","2200","01","Central","0153","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","0416","50","M","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626",,,,"200 W  6TH                          ST",,"34.046","-118.2509"
"100100574","2010 Feb 01 12:00:00 AM","2010 Jan 31 12:00:00 AM","1930","01","Central","0145","2","624","BATTERY - SIMPLE ASSAULT","0416","40","M","W","207","BAR/COCKTAIL/NIGHTCLUB","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","624",,,,"5TH","LOS ANGELES","34.0461","-118.2476"
"100100575","2010 Feb 01 12:00:00 AM","2010 Jan 31 12:00:00 AM","1720","01","Central","0181","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","1402","36","M","W","710","OTHER PREMISE",,,"AA","Adult Arrest","341",,,,"1100 S  FIGUEROA                     ST",,"34.0437","-118.2652"
"100100578","2010 Feb 05 12:00:00 AM","2010 Feb 03 12:00:00 AM","1255","01","Central","0185","2","946","OTHER MISCELLANEOUS CRIME",,"27","M","H","710","OTHER PREMISE",,,"IC","Invest Cont","946","999",,,"1200    MAPLE                        AV",,"34.0357","-118.2563"
"100100580","2010 Feb 02 12:00:00 AM","2010 Feb 01 12:00:00 AM","1355","01","Central","0158","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","0521","48","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","511","VERBAL THREAT","AO","Adult Other","930",,,,"6TH","CERES","34.0394","-118.2405"
"100100581","2010 Feb 05 12:00:00 AM","2010 Feb 05 12:00:00 AM","1425","01","Central","0147","2","624","BATTERY - SIMPLE ASSAULT","0400 0417","32","F","H","101","STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","624",,,,"SAN JULIAN                   ST","5TH                          ST","34.0446","-118.245"
"100100586","2010 Feb 06 12:00:00 AM","2010 Feb 06 12:00:00 AM","0110","01","Central","0171","2","624","BATTERY - SIMPLE ASSAULT","0416","36","F","H","207","BAR/COCKTAIL/NIGHTCLUB","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624",,,,"800 W  OLYMPIC                      BL",,"34.045","-118.264"
"100100587","2010 Feb 05 12:00:00 AM","2010 Feb 05 12:00:00 AM","2030","01","Central","0174","2","624","BATTERY - SIMPLE ASSAULT","0400 0416","45","F","B","503","HOTEL","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","624",,,,"700 S  MAIN                         ST",,"34.0439","-118.2514"
"100100591","2010 Feb 10 12:00:00 AM","2010 Feb 08 12:00:00 AM","1625","01","Central","0182","1","330","BURGLARY FROM VEHICLE","0344 1609","22","F","W","108","PARKING LOT",,,"IC","Invest Cont","330",,,,"1200 S  FLOWER                       ST",,"34.0415","-118.2654"
"100100592","2010 Feb 08 12:00:00 AM","2010 Feb 08 12:00:00 AM","1800","01","Central","0162","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","0344","23","M","H","203","OTHER BUSINESS",,,"AA","Adult Arrest","440",,,,"700 W  7TH                          ST",,"34.048","-118.2577"
"100100608","2010 Feb 11 12:00:00 AM","2010 Feb 10 12:00:00 AM","1900","01","Central","0152","1","220","ATTEMPTED ROBBERY","0416","27","M","H","210","RESTAURANT/FAST FOOD","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","220",,,,"6TH                          ST","FLOWER","34.0502","-118.2574"
"100100610","2010 Feb 11 12:00:00 AM","2010 Feb 10 12:00:00 AM","1800","01","Central","0162","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0325 1402","23","M","B","404","DEPARTMENT STORE",,,"AA","Adult Arrest","442","998",,,"700 W  7TH                          ST",,"34.048","-118.2577"
"100100616","2010 Feb 11 12:00:00 AM","2010 Feb 11 12:00:00 AM","1515","01","Central","0192","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","1212","0","M","H","102","SIDEWALK",,,"AA","Adult Arrest","341",,,,"PICO","GRAND","34.0389","-118.2643"
"100100622","2010 Feb 13 12:00:00 AM","2010 Feb 13 12:00:00 AM","0055","01","Central","0171","2","624","BATTERY - SIMPLE ASSAULT","0416","24","M","O","101","STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624",,,,"800 W  OLYMPIC                      BL",,"34.045","-118.264"
"100100623","2010 Feb 13 12:00:00 AM","2010 Feb 13 12:00:00 AM","0150","01","Central","0119","2","745","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329","22","F","W","210","RESTAURANT/FAST FOOD",,,"AA","Adult Arrest","745",,,,"700 E  CESAR E CHAVEZ               AV",,"34.0559","-118.2296"
"100100628","2010 Feb 15 12:00:00 AM","2010 Feb 14 12:00:00 AM","1500","01","Central","0158","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0408","40","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","230",,,,"500    STANFORD                     AV",,"34.0426","-118.2412"
"100100630","2010 Feb 15 12:00:00 AM","2010 Feb 15 12:00:00 AM","0100","01","Central","0123","1","210","ROBBERY","0400","22","F","O","101","STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","210",,,,"1ST                          ST","HILL                         ST","34.0544","-118.2466"
"100100632","2010 Feb 16 12:00:00 AM","2010 Feb 16 12:00:00 AM","1540","01","Central","0138","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","0400 2000","22","F","H","102","SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626",,,,"500 E  4TH                          ST",,"34.0449","-118.2415"
"100100633","2010 Feb 17 12:00:00 AM","2010 Feb 17 12:00:00 AM","1725","01","Central","0153","2","745","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329","35","M","H","406","OTHER STORE",,,"IC","Invest Cont","745",,,,"500 S  BROADWAY",,"34.0481","-118.2507"
"100100634","2010 Feb 20 12:00:00 AM","2010 Feb 19 12:00:00 AM","2040","01","Central","0162","2","624","BATTERY - SIMPLE ASSAULT","0400","44","M","O","102","SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","624",,,,"700 S  HOPE                         ST",,"34.048","-118.2577"
"100100635","2010 Feb 20 12:00:00 AM","2010 Feb 19 12:00:00 AM","2030","01","Central","0162","2","624","BATTERY - SIMPLE ASSAULT","0400","50","M","O","101","STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","624",,,,"700 S  HOPE                         ST",,"34.048","-118.2577"
"100100638","2010 Feb 20 12:00:00 AM","2010 Feb 20 12:00:00 AM","0100","01","Central","0164","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329","0","M","O","101","STREET",,,"AA","Adult Arrest","740",,,,"100 W  7TH                          ST",,"34.0439","-118.2514"
"100100639","2010 Feb 20 12:00:00 AM","2010 Feb 20 12:00:00 AM","0230","01","Central","0164","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000","25","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","626",,,,"600 S  MAIN                         ST",,"34.0453","-118.2499"
"100100642","2010 Feb 21 12:00:00 AM","2010 Feb 21 12:00:00 AM","0500","01","Central","0174","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","0400 0408","35","F","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","626",,,,"800 S  SPRING                       ST",,"34.0431","-118.2536"
